Title,Rate,Comment,Author,Date,Extraction_date
Beware Of Pickpockets,"['ui_bubble_rating', 'bubble_40']","The room was fine, the staff were excellent, but the hotel is in an area prone to pickpockets. Sadly I learned this the hard way. A group of men were aggressively soliciting a cause in French, a language I do not speak, and continued even...More",wildtramper,"Reviewed September 4, 2017",2017-12-08 11:57:59.795124
Great hotel in Paris,"['ui_bubble_rating', 'bubble_40']","We stayed at the Novotel Les Halles for 4 nights. We payed in advance booking a non-refundable executive room and saved considerably.
Everything about this hotel was great from check in to check out. The staff was friendly and always willing to answer questions. Alexandre...More",India L,"Reviewed August 29, 2017",2017-12-08 11:57:59.795151
Celebrating our first wedding anniversary ,"['ui_bubble_rating', 'bubble_40']","My husband booked this hotel after doing research into the various hotel options in the main parts of Paris. We booked the hotel through lastminute.com.
When we arrived at the hotel, I didn't find the staff very welcoming. We were hugely disappointed to find that...More",Shelina123,"Reviewed August 22, 2017",2017-12-08 11:57:59.795181
No happy arrival,"['ui_bubble_rating', 'bubble_40']",This hotel is very well positioned in center of (touristic) Paris and therefor a great starting point for visits. However our arrival was not a happy one : we booked an executive room (!) which was not ready at our arrival at 14:30. They sent...More,Jonathan Z,"Reviewed August 17, 2017",2017-12-08 11:57:59.795213
Not to be missed,"['ui_bubble_rating', 'bubble_40']","On the last 5 years I got the chance of being guest to many hotels in Europe and not only. Those hotels belonging to Accor group are the one most visited thanks also to the membership card which give substantial advantages.
For private reasons, Novotel...More",Flintso,"Reviewed August 13, 2017",2017-12-08 11:57:59.795243
"Excellent location, staff and facilities!! Stay here to enjoy your Paris getaway!","['ui_bubble_rating', 'bubble_40']","With Novotel Les Halles Paris as the final leg of our trip on our 10 days vacation to London/Europe and assuming language can be a problem, we walked in with one negative experience at the Nord train station, which I will mention of in a...More",Dee1412,"Reviewed August 8, 2017",2017-12-08 11:57:59.795273
"Ideal location, but that's what you really pay for","['ui_bubble_rating', 'bubble_40']","In general, Paris hotel rooms are pretty small so we found ourselves quite short on choices for a family room at a decent size, in a decent location, at a decent price. The Novotel is nice enough, I'm not sure I could ever justify the...More",Stephenfernie,"Reviewed July 31, 2017",2017-12-08 11:57:59.795309
Great location for the centre of Paris,"['ui_bubble_rating', 'bubble_40']",The hotel is well situated for the centre of Paris within walking distance of the Louvre museum and the Seine. The staff were friendly and efficient and the rooms well appointed. All in all very good and a hotel that I would return to on...More,James W,"Reviewed July 22, 2017",2017-12-08 11:57:59.795341
Visiting Paris,"['ui_bubble_rating', 'bubble_40']","This hotel is located in a great Area ofParis, easy to find your way around and not too far a walk from hop on hop off buses. The train station is very close and there are any number of bars and restaurants offering all types...More",Colleen c,"Reviewed July 17, 2017",2017-12-08 11:57:59.795371
Great stay in Paris,"['ui_bubble_rating', 'bubble_40']","Stayed here for one night, on July 3rd. We a two beds queen beds in our room it was large for a European location. It was clean and modern looking. It had two USB ports on each side of each bed so you don't have...More",shyintustin,"Reviewed July 13, 2017",2017-12-08 11:57:59.795399
"Nice hotel, but NOT if you come by car!","['ui_bubble_rating', 'bubble_40']","Arriving to the hotel by car is impossible due to roadwork outside and oneway streets.
When I called the hotel three (3) times, nobody could answer me where I should park.
After circling the area more than one hour, I stopped in a taxizon and...More",Anders B,"Reviewed July 8, 2017",2017-12-08 11:57:59.795426
"Excellent location, good value and service","['ui_bubble_rating', 'bubble_40']","I chose this hotel for a family weekend trip and it turned out to be ideal.
Location. Excellent on several counts. Firstly, it's very close to Chatalet-Les Halles RER meaning 30 minutes from Charles de Gaulle airport with no changes of train. If you're coming...More",Menace,"Reviewed June 26, 2017",2017-12-08 11:57:59.795815
Wonderful Hotel and Location,"['ui_bubble_rating', 'bubble_40']","My wife and I arrived to a wonderful hotel. Construction (May 2017) on the streets in front of the hotel complicated the arrival and we had to walk a block or so. However, location was perfect. The hotel is only a block from the brand...More",GaryH_Colo,"Reviewed June 19, 2017",2017-12-08 11:57:59.795913
GREAT Hotel and experience,"['ui_bubble_rating', 'bubble_40']",Hotel exceeded expectations in all aspects. Rooms were very spacious and very new and well furnished with trendy items and a great bathroom. Common areas were very large and open and friendly. Breakfast was great and definitely include it with your package. Many options and...More,Robb L,"Reviewed June 16, 2017",2017-12-08 11:57:59.795947
"Great location, lovely hotel","['ui_bubble_rating', 'bubble_40']","We really liked our stay here. The rooms are very nice, there's a quiet, lovely interior courtyard to have a drink or a bite to eat, a good exercise room, and very friendly staff. The location is fabulous. It's an easy walk to the Seine,...More",Hank P,"Reviewed June 10, 2017",2017-12-08 11:57:59.795996
Great Hotel in a Great Location!,"['ui_bubble_rating', 'bubble_40']","Perfect location close to everything to do in the heart of Paris. Nice, clean and a very helpful staff to help guide you thru the city. Great breakfast which was perfect for our family of four. Very close to airport.",Timothy S,"Reviewed June 6, 2017",2017-12-08 11:57:59.796043
Very good hotel dispite the working at the entrance!!!,"['ui_bubble_rating', 'bubble_40']","We loved this Novotel!!! Excelent location, excelent facilities, and good room!!! We were disappointed with the garage out of order, due to an working in progress at the main entrance.
That was not their fault, but they did not give any warning in advance.
I...More",RicardoJNoronha,"Reviewed June 1, 2017",2017-12-08 11:57:59.796078
Terrific Location/Great Breakfast,"['ui_bubble_rating', 'bubble_40']","Nice hotel with terrific breakfast. The area is under construction right now, but the extremely convenient location trumps the minimal disruption posed by it. Located next to one of the most convenient metro hubs in Paris and next to a terrific restaurant and shopping hub...More",MaryAnn D,"Reviewed May 25, 2017",2017-12-08 11:57:59.796109
Great location and great hospitality.,"['ui_bubble_rating', 'bubble_40']","The hotel is very near to the Les Halles station, facilitating access to pretty much everywhere in Paris and beyond via the excellent metro and RER system. Less than 10 minutes walk to Notre Dame, 15, tops, to the Louvre. The hotel staff are warm...More",Pat C,"Reviewed May 17, 2017",2017-12-08 11:57:59.796139
Great location at Novotel Les Halles,"['ui_bubble_rating', 'bubble_40']",Small rooms like in most European destinations and the location while great does take a bit of finding at the first time even though we were in a cab booked from the hotel from the airport. But a great standardized offering. We had a room...More,vkmyinv,"Reviewed May 10, 2017",2017-12-08 11:57:59.796166
Novotel central Paris,"['ui_bubble_rating', 'bubble_40']","Nice hotel with a great location near to all the tings you want to see.The staff was very friendly and helpful.The rooms was clean and large, breakfast was various and tasted well.
We had great weekend and would return here.
RB",Radde B,"Reviewed April 22, 2017",2017-12-08 11:57:59.796193
Great Central Location,"['ui_bubble_rating', 'bubble_40']","Location 5/5 - right next door to Chatelet Les Halles with direct connection via RER from Charles de Gaulle Airport.
Reception 5/5 - on arrival the friendly receptionists marked up a map of all the major landmarks all within walking distance of the hotel.
Room...More",PaulandSam2013,"Reviewed April 16, 2017",2017-12-08 11:57:59.796220
Lovely stay!,"['ui_bubble_rating', 'bubble_40']","We stayed here for our Paris adventure. I had researched hotels and found this one to be the right price, enough beds for the family & near Metro/RER lines. All of which were very important to me. After a not great stay at another hotel...More",Tinker3267,"Reviewed April 5, 2017",2017-12-08 11:57:59.796248
Best price and space in Paris ,"['ui_bubble_rating', 'bubble_40']","The hotel that a relaxed atmosphere and with great people
Room
The rooms are clean and are very spacious.
The bathroom are classy and clean.
The staff
The staff are helpful and pleasant. True Parisian kindness.
The hotel is under construction and we were upgraded...More",Sabina T,"Reviewed March 22, 2017",2017-12-08 11:57:59.796275
Keep in mind renovation still in progress,"['ui_bubble_rating', 'bubble_40']","The receptionists are incredibly polite by European standard. The lady who serve me is very polite. Her English can be better, I believe she is trying her best but there is small thing where she said ""Everything in the mini bar is free except alcoholic...More",mr_draco,"Reviewed March 10, 2017",2017-12-08 11:57:59.796303
Pleasant hotel in a great central location,"['ui_bubble_rating', 'bubble_40']","Very comfortable hotel, great location near Les Halles, very generous. room with a well appointed bathroom (although only a shower, no bath). Breakfast every morning was generous, with eggs cooked to order, and the bar lounge was a pleasant place to hang out. Quite decent...More",Dimitrivaz,"Reviewed February 20, 2017",2017-12-08 11:57:59.796332
Verry Good,"['ui_bubble_rating', 'bubble_40']","Staff are very attentive and polite. Hotel clean and very good. I went with my family and everything was good. Wifi worked well, and the hotel is well located with good access. I will return to this hotel in the future",Fred C,"Reviewed February 1, 2017",2017-12-08 11:57:59.796363
Unusually Roomy Room for Paris,"['ui_bubble_rating', 'bubble_40']","Our stay in Novotel Les Halles was really excellent. The price was very good (they even upgraded us!), the location is very good; I appreciate having a coffee maker in the room, and the breakfast was quite ample and delicious. Also, the room was not...More",lahabib452,"Reviewed January 17, 2017",2017-12-08 11:57:59.796390
Great location for tourist in Paris,"['ui_bubble_rating', 'bubble_40']","Stayed here from Boxing Day to New Year's Day, great location and rooms are clean.
Great location:
- ~50mins away from Disneyland Paris by RER A train.
- ~40mins away from CDG airport by taxi, or you can take RER B train (~1 hr.)
-...More",Anthony_Chien,"Reviewed January 2, 2017",2017-12-08 11:57:59.796419
Great central location,"['ui_bubble_rating', 'bubble_40']",Excellent hotel with superb customer service. A wide variety of selections at the breakfast buffet to suit any taste. Decent menu at the hotel lounge as well - I had dinner there on two occasions and they did not disappoint. But the main draw is...More,CarolineJNY,"Reviewed December 21, 2016",2017-12-08 11:57:59.796438
Good location and spacious room,"['ui_bubble_rating', 'bubble_40']","I stayed at the Novotel Paris Les Halles when I was unable to make it back to Amsterdam due to electricity being cut to Paris Nord station. It was a last-minute booking, but just what I needed after a hectic day. The location was ideal...More",MiaView,"Reviewed December 12, 2016",2017-12-08 11:57:59.796455
Superb,"['ui_bubble_rating', 'bubble_40']",Excellent experience! Check is was extremely friendly and efficient. The room was modern and tasteful with an excellent shower and everything you needed for a business stay. Breakfast good quality. Service at the bar a little slow. Check out just as friendly and efficient as...More,LouisPRequena,"Reviewed December 1, 2016",2017-12-08 11:57:59.796472
Great Location!!!!!!!,"['ui_bubble_rating', 'bubble_40']","I'm please with this hotel located close to many attractions
Rooms are average considering where we are!!! PARIS. but not too happy with bed, need little work on this matters. Clean, good service, very friendly stuff.",Ermilsumc,"Reviewed November 28, 2016",2017-12-08 11:57:59.796489
Really nice hotel. ,"['ui_bubble_rating', 'bubble_40']","This was a really nice hotel, better than expected. Nice room, clean and comfortable. I hade a little problem to find the hotel because there where constructions around it. But that's a temporary problem. There's a lot of nice restaurants and shopping nearby.",Kenneth S,"Reviewed November 19, 2016",2017-12-08 11:57:59.796505
A wonderful stay!,"['ui_bubble_rating', 'bubble_40']","I came here with my family, total 8 persons. They all love it. It's a lovely and awesome hotel with excellent staff. Rooms are clean and tidy. The decoration is modern. Good for family trip. Many restaurants around the hotel. Definitely will come again next...More",Magipang,"Reviewed November 9, 2016",2017-12-08 11:57:59.796537
Excellent base for break in Paris,"['ui_bubble_rating', 'bubble_40']","Found this hotel by chance, however it is in a great location, near to Chatelet les Halles railway station so a no fuss transfer from Charles de Gaulle airport.
Staff are friendly and helpful. Booked a standard room, the room was spacious and very clean....More",pandabear,"Reviewed November 5, 2016",2017-12-08 11:57:59.796556
"Very nice hotel, great location in Paris","['ui_bubble_rating', 'bubble_40']","Good friendly staff, services are good and the hotel has a great design and location in central Paris. Great with kids. The only point is the breakfast during busy times, I think the management should sort out a solution for the queue. The hotel should...More",gjanzso,"Reviewed November 1, 2016",2017-12-08 11:57:59.796573
"Good location, ok service.","['ui_bubble_rating', 'bubble_40']","We stayed for three nights in a standard room, so not expecting anything special. Room was a little run down, no major complaints though.
Excellent breakfast, ok bar. It´s a really unattractive building, but the location is excellent. Close to the ReR B from CdG,...More",SNS242,"Reviewed October 24, 2016",2017-12-08 11:57:59.796591
Good hotel but could be better,"['ui_bubble_rating', 'bubble_40']","We spent three nights here in a suite. It was spacious, compared with other similarly priced hotels in Paris. The living room was comfortable, with a dining table for ordering food in, and a sectional sofa for lazy lounging. The only drawback is the location...More",Linblatt,"Reviewed October 15, 2016",2017-12-08 11:57:59.796611
"Great location, service, facilities","['ui_bubble_rating', 'bubble_40']",Stayed here for 6 days. Very friendly staff at front desk with no issues checking in or out. Was able to store our luggage while we went to Amsterdam for a couple of days before checking in. Location can't be beat unless you want to...More,Jason M,"Reviewed October 10, 2016",2017-12-08 11:57:59.796629
"Great Location, Fantastic Staff","['ui_bubble_rating', 'bubble_40']","I stayed here last month with my children, husband and parents and we had a great time. It is a large, beautiful hotel in the perfect location.
It is in the process of being renovated at the moment and sadly you need to pay €20...More",Pamy_Orlando,"Reviewed October 6, 2016",2017-12-08 11:57:59.796647
Excelent! ,"['ui_bubble_rating', 'bubble_40']",exelente! My stay in Paris was at this hotel! Hotel very well located! Side shopping and the train station restaurants and many shops! The hotel staff are very attentive! The breakfast was very good! I will definitely stay at this hotel the next time I...More,Ricardo Luiz C,"Reviewed October 2, 2016",2017-12-08 11:57:59.796668
GREAT!,"['ui_bubble_rating', 'bubble_40']","It was a pleasure to stay five nights at the Novotel Paris Les Halles. It is located within steps from all major metro, bus and RER lines. You can take the RER B train from Orly Airport or Charles de Gaulle Airport. It is within...More",glf2010,"Reviewed September 22, 2016",2017-12-08 11:57:59.796685
Perfectly located.,"['ui_bubble_rating', 'bubble_40']","I was in Paris for holidays with my boyfriend we didn't know where to stay and looking at different hotels we decided to stay at this hotel .
The staff its was really friendly and helpful.
The breakfast was ok but not fantastic.
The rooms...More",Luca M,"Reviewed September 15, 2016",2017-12-08 11:57:59.796701
Awesome,"['ui_bubble_rating', 'bubble_40']","The place is so nice for family on vacation.near to the tourist attraction,shopping center,restaurant you won't ask for more rooms are clean,people are all friendly,breakfast is so good!!!!!👍🏻👍🏻💯💯💯...",janeelijan,"Reviewed September 10, 2016",2017-12-08 11:57:59.796718
Nice hotel,"['ui_bubble_rating', 'bubble_40']","Great room! Great mattress with both soft and hard pillows. Delicious breakfast with lots of choices. Only issue was the breakfast room is a bit dark.
Central location. Right by metro and shops. Great friendly helpful staff",Clare B,"Reviewed August 26, 2016",2017-12-08 11:57:59.796735
Great Customer Services,"['ui_bubble_rating', 'bubble_40']","The room is clean and spacious. Breakfast is great with good variety.
Location is close to all major attractions which is a benefit.
Customer Service Representative try their best to satisfy my request reasonable and in a timely manner.",ypklee,"Reviewed August 23, 2016",2017-12-08 11:57:59.796752
Problem with the deposit,"['ui_bubble_rating', 'bubble_40']","When I arrived there in May 2016 they asked me to pay 100 € as a deposit. Until now I didn't get paid back. They have it and they have no idea how they can help.
Other issue be sure for your bill before check...More",awsairy,"Reviewed August 19, 2016",2017-12-08 11:57:59.796769
A disappointment,"['ui_bubble_rating', 'bubble_40']",I checked out of the Ibis Republique for what i thought would be an upgrade . Kaplop ... I made a mistake . My room cost 3 times that of Ibis ...I should have stayed where I was .The room and much of the hotel...More,WHISKASyTORTU,"Reviewed August 17, 2016",2017-12-08 11:57:59.796787
Great location and check in staff,"['ui_bubble_rating', 'bubble_40']","We recently spent four nights at this hotel. ""Les Halles"" is a great location surrounded by shops, restaurants, cafe's and a little grocery store not far from the entrance of the hotel. As noted in other reviews there are major construction works going on around...More",fionagar,"Reviewed August 10, 2016",2017-12-08 11:57:59.796803
Another great stay,"['ui_bubble_rating', 'bubble_40']","We feel like valued customers and all staff go out of their way to be helpful. The hotel is clean and facilities are very good. The food is fresh and well cooked. There are gluten free options but not gluten / dairy free options, however...More",Jane D,"Reviewed August 2, 2016",2017-12-08 11:57:59.796821
"Fantastic Hotel, Great Location","['ui_bubble_rating', 'bubble_40']","Rooms were beautiful - appeared to be recently refreshed, almost brand new, quite modern & clean.
We couldn't have asked for a better location. Walkable to Louvre, Notre Dame, shopping, restaurants, etc.
Best of all: the staff! My luggage was lost and the staff went...More",jdrieber,"Reviewed July 21, 2016",2017-12-08 11:57:59.796838
Novotel Paris 👍👍👍👍👍,"['ui_bubble_rating', 'bubble_40']","Stayed at the Novotel Paris this last week
Was one of the best Novotel's I have ever stayed at
Especially the staff, they all spoke exceptionally good English and couldn't do enough to assist us
The standard Internet access is very very good (no need...More",BRENTON_1802,"Reviewed July 10, 2016",2017-12-08 11:57:59.796856
Modern business trip,"['ui_bubble_rating', 'bubble_40']","I stayed at this hotel many times due to several business trips in Paris.
The location is very convenient, in the heart of dynamic Les Halles and close to the metro. In particular, the Centre Pompidou is very close and from here you have the...More",annie_bb_89,"Reviewed June 30, 2016",2017-12-08 11:57:59.796875
Perfect Location,"['ui_bubble_rating', 'bubble_40']","This hotel is located near several historic sites, such as the Notre Dame Cathedral. It is also surrounded by a multitude of cafés and shopping. There's a mall next door where you can catch the Metro and the RER (B line if you want to...More",polsci,"Reviewed June 23, 2016",2017-12-08 11:57:59.796892
Help with online tickets for the catecombs,"['ui_bubble_rating', 'bubble_40']","Even though we were not guests at the hotel, Paulina was the most helpful, knowledgeable, and sweetest assistant to our needs. If this is the kind of service provided, I would certainly recommend this hotel. The lobby was absolutely beautiful and the location is central...More",Shrlrd4,"Reviewed June 15, 2016",2017-12-08 11:57:59.796910
Value plus Location,"['ui_bubble_rating', 'bubble_40']","Good room, awesome comfy bed and the suite fitted a 2+3 family comfortably. Didn't eat here as there was some amazing gastro experiences in around 45 seconds walk. Parking was non-existent and the closest pay facility was 34 eu a night. Very hard to find...More",Daniel W,"Reviewed June 2, 2016",2017-12-08 11:57:59.796941
Great Location But Needs Improvements,"['ui_bubble_rating', 'bubble_40']",This hotel is located walking distance to Notre Damn and the Louvre and right next door to a major Paris Metro / RER station. Half of the elevators seemed to be broken during our stay which made getting up and down a really long wait....More,seat38a,"Reviewed May 31, 2016",2017-12-08 11:57:59.796970
Excellent Stay and Excellent Customer Service,"['ui_bubble_rating', 'bubble_40']",Very nice hotel with clean rooms and very friendly reception staff. Anthony checked me in and was very cordial and courteous. The air conditioning in my originally assigned room wasn't working well and couldn't be fixed. Anthony personally came up to arrange for another room...More,IPTraveler006,"Reviewed May 18, 2016",2017-12-08 11:57:59.796983
awful service,"['ui_bubble_rating', 'bubble_40']",Stayed there over the weekend and as I came back to Paris two days later I asked if I can leave my suitcase with them. The receptionist was nice enough and asked the manager who approved it. Monday morning when I came back the receptionist...More,dammonber,"Reviewed May 4, 2016",2017-12-08 11:57:59.796998
Would avoid always,"['ui_bubble_rating', 'bubble_40']","My first night, I checked in efficiently, and I ate at the hotel restaurant with colleagues. The portion size was small, and the wine was mediocre. This unfortunately was not the worst part. The worst part was that I ordered a chocolate lava cake and...More",Barry L,"Reviewed April 25, 2016",2017-12-08 11:57:59.797011
So so,"['ui_bubble_rating', 'bubble_40']","Great location but very expensive for what you get both in terms of accommodation and bar prices.
It was also very hot with the air conditioning apparently set to ""winter mode"", coupled with the fact that there's a building site outside the front of the...More",knj251,"Reviewed April 19, 2016",2017-12-08 11:57:59.797024
Great hotel in Paris,"['ui_bubble_rating', 'bubble_40']","Had a very pleasent stay for 4 nights with my husband and son. Will definitely go back as it became home in Paris. Just next to the metro station, so convenient place.
Breakfast, room size and its cleanliness and reception & concierge service were all...More",Meltem E,"Reviewed April 15, 2016",2017-12-08 11:57:59.797037
First class location and hotel,"['ui_bubble_rating', 'bubble_40']","Stayed for 3 nights over Easter break. This hotel exceeded our expectations.
The staff on reception (Veronique especially) were very friendly, attentive and welcoming...the restaurant staff too were excellent. Our room 229 was fantastic. The furnishings and beds in the room made for a comfortable...More",Manny212,"Reviewed April 2, 2016",2017-12-08 11:57:59.797050
We will always have Paris,"['ui_bubble_rating', 'bubble_40']","The hotel is very well located, some steps away from Les Halles station - which is being remodeling and are becoming a nice shopping center. Staff is very friendly and the rooms are clean and big. I also got welcome drinks :-)",FredtSteca,"Reviewed March 23, 2016",2017-12-08 11:57:59.797065
Very nice Hotel in the center of Paris!!!!!,"['ui_bubble_rating', 'bubble_40']","Nice room, spacious and very clean!
Excellent food, various and gluten free bread and cereals!
Amazing staff!
A beautifull terrace!
Gorgeous decoration in the hall! The french touch
All in the center of Paris!
Run!!!!!",delphine c,"Reviewed March 9, 2016",2017-12-08 11:57:59.797077
Great location ,"['ui_bubble_rating', 'bubble_40']","Even though there's building works going on next door in the Les Halles Forum, this hotel offers a great location with loads of restaurants nearby. The Metro is seconds away, quaint patisseries and bakeries around the corner on Rue St Honore and Rue de Rivoli....More",Roloush,"Reviewed February 23, 2016",2017-12-08 11:57:59.797091
Perfect location!,"['ui_bubble_rating', 'bubble_40']",Fantastic location for a visit to Paris. Flew in to Beauvais and picked up a coach which took us to Port Maillot. From here we took the underground directly to Les Halles. (Chatelet) On arrival we were warmly welcomed at reception. Initially requested a room...More,joanoArmagh,"Reviewed February 16, 2016",2017-12-08 11:57:59.797105
Great hotel for business and leisure,"['ui_bubble_rating', 'bubble_40']",More,EfimK2016,"Reviewed February 12, 2016",2017-12-08 11:57:59.797118
Great Place/Great Location/Great Room,"['ui_bubble_rating', 'bubble_40']","I have stayed at this property for nearly 20 years and have seen it grow to excellence. If you want to be near to everything from Metro, Cuisine, Incredible sites - this is THE place to stay! Perfect location!
Though they're building a new Metro...More",Kirt W,"Reviewed January 30, 2016",2017-12-08 11:57:59.797126
"Ok, but...","['ui_bubble_rating', 'bubble_40']","We were told that the room that we had booked can accommodate the five of us, which is rare for a European hotel. It turned out that there was a proper double bed for two, an accident pull out sofa bed that was so worn...More",Fix2013,"Reviewed January 17, 2016",2017-12-08 11:57:59.797140
"Very helpful, polite staff.","['ui_bubble_rating', 'bubble_40']","Room was adaquet for short length of stay. Toilet door lock did not work, which had it's minor problems! Reported this to reception but was not repaired during our stay.
Breakfast was plentiful, both continental and English. Dinner was perhaps a little limited but tasty..one...More",A P,"Reviewed January 13, 2016",2017-12-08 11:57:59.797152
Business/Shopping area hotel,"['ui_bubble_rating', 'bubble_40']",We showed up to huge amounts of traffic / construction which was a pain. The staff spoke english which we really appreciated their help. The lobby and bar were very nice. The room was pretty bad. The fixtures in bathroom terrible. Room small and glad...More,heath1515,"Reviewed January 6, 2016",2017-12-08 11:57:59.797166
"Good hotel, excellent central location, good connections","['ui_bubble_rating', 'bubble_40']","We stayed there for four days in two adjoining Executive rooms on the top floor (mainly because they allow four occupants each). The rooms were very good quality and we heard no excessive noise from outside, the hallway, or other rooms. The view was only...More",SurfaceTravel,"Reviewed December 30, 2015",2017-12-08 11:57:59.797180
Such a wonderful hotel,"['ui_bubble_rating', 'bubble_40']","I have just been at Novotel Les Halles for 4 nights and found it one of the most enjoyable visits to any hotel I have stayed at. The decor was great, and rooms excellent. The staff were fantastic, they really went the ""extra mile"" and...More",wahinetoaAuckland,"Reviewed December 22, 2015",2017-12-08 11:57:59.797198
Decent Hotel,"['ui_bubble_rating', 'bubble_40']","This is a nice hotel situated close to the Louvre and Notre Dame. However, it is important to note that there is construction immediately around the hotel. You have to meet taxi's a few hundred feet away from the hotel entrance on a side street....More",kvb4717,"Reviewed December 15, 2015",2017-12-08 11:57:59.797211
Great location!,"['ui_bubble_rating', 'bubble_40']","We love this hotel for just one thing - central location from where you can walk, take a metro or bus to practically anywhere in Paris. Otherwise, rather big and anonymous but with kind service, good breakfast and bar open late. It is expensive -...More",Krzysztof H,"Reviewed December 6, 2015",2017-12-08 11:57:59.797224
Delightful modern hotel,"['ui_bubble_rating', 'bubble_40']","Excellent location, right alongside a farmers market as well as access to the metro.The hotel room was a wonderful size, beautifully appointed, in a modern contemporary fashion. We would definitely recommend this hotel for your next visit go to Paris.
Bon hôtel très bien situé,",CupertinoCiaran,"Reviewed November 18, 2015",2017-12-08 11:57:59.797237
21st Birthday in Paris,"['ui_bubble_rating', 'bubble_40']","Stayed here from the 11th November to 14th November.
Hotel was lovely. There was construction work going on but this didnt affect us. Check in was very quick.
The room was lovely, very spacious, beds comfy and roo was very clean.
As it was my...More",a1m2y,"Reviewed November 15, 2015",2017-12-08 11:57:59.797258
Worst Novotel service ever!,"['ui_bubble_rating', 'bubble_40']","I'm currently staying at the Novotel Les Halles, hotel location is excellent, rooms are standard Novotel interiors. The service is the worst I have experienced with Accor! I arrived at 7am and the lady told us the room is ready however, to check you in...More",trvljock,"Reviewed November 7, 2015",2017-12-08 11:57:59.797272
Great Staff - Great Hotel - Great Location,"['ui_bubble_rating', 'bubble_40']","For our first family trip to Paris we wanted a comfortable, reasonably priced hotel in a central location - It turned out that this hotel was perfect. On the main train line from the airport and the main line to Disney the hotel is a...More",satisfiedkevin,"Reviewed November 4, 2015",2017-12-08 11:57:59.797285
Great Location,"['ui_bubble_rating', 'bubble_40']","the best of this hotel is its location. The rooms are spacious, very close to the center and Pompideau minute walk from the Louvre Museum, shopping street and surrounded by numerous restaurants and bars",Jen L,"Reviewed October 31, 2015",2017-12-08 11:57:59.797299
Average Hotel in a very Poor Area,"['ui_bubble_rating', 'bubble_40']","The hotel itself is average. Typical for a Novotel, not worth the money etc.
Unfortunately this particular hotel is in the centre of Les Halles which is a deprived area of Paris,
As you stroll hand in hand out of the hotel be sure to...More",Cliffmeister11,"Reviewed October 29, 2015",2017-12-08 11:57:59.797310
