Comment,Author,Date,Extraction_date
"Le temps d'un week-end, lors de La Nuit des Parisiens en février dernier, nous avons pu profiter d'une pause magique dans cet endroit splendide: Le Royal Monceau...
Chambre d'exception, Accueil parfait...
Notre chambre, sur rue, était très soignée.. Chaque détail compte: linges de lit très...Plus",Anne Sophie P,Avis publié : 30 mars 2015,2017-12-05 15:26:01.086127
"Merci à Matthieu qui a rendu le service fort sympathique. Le Chocolat chaud épicé de Pierre Hermes est très bien équilibrée, meme si à mon goût il ne détrônera pas le classique. Décor morderne qui change des autres palaces parisiens.Plus",Claire A,Avis publié : 24 mars 2015,2017-12-05 15:26:01.086136
"Accueil parfait, nous avons été ravis de passer un moment dans ce superbe hôtel. La qualité et le service sont dignes d'éloges. Tout est raffinement. Nous avons pu constater le professionnalisme et le perfectionnisme au service du client. Le sourire et la gentillesse du personnel....Plus",mamy971,Avis publié : 17 mars 2015,2017-12-05 15:26:01.086144
"Hotel bien situé, une chambre (Junior suite) très bien décorée et spacieuse.
Un très bon service client, c était notre première fois.
Le SPA est superbe et la qualité des soins est très bien (un modelage pour Monsieur + un soin pour femme enceinte).
Du...Plus",Virad95,Avis publié : 21 février 2015,2017-12-05 15:26:01.086153
"Hotel bien situé, une chambre (Junior suite) très bien décorée et spacieuse.
Un très bon service client, c était notre première fois.
Le SPA est superbe et la qualité des soins est très bien (un modelage pour Monsieur + un soin pour femme enceinte).
Du...Plus",Virad95,Avis publié : 21 février 2015,2017-12-05 15:26:01.086162
"Cadre très agréable ! Idéal pour un brunch un dimanche en famille !
Buffet varié très adapté à tous les âges et tous les goûts .
Les desserts ""Pierre Hermé "" sont à tomber par terre, les huîtres un régal .... Estomac trop petit pour...Plus",VirginieV28,Avis publié : 15 février 2015,2017-12-05 15:26:01.086170
"Un séminaire d'entreprise dans un cadre exceptionnel avec un service exceptionnel. Merci à toute l'équipe du RM (Laurent, Jean-Paul, Mohammed, Julie et Claudia ...) dont nous avons pu constater le professionnalisme, le perfectionnisme et l'attention au service du client, la gentillesse aussi... Tous les ingrédients...Plus",Sylvain B,Avis publié : 10 février 2015,2017-12-05 15:26:01.086179
"Il s'agissait d'un événement au cinéma un matin.
L'accueil était parfait.
L'organisation était huilée.
Le cadre magnifique...
Il n'y a rien à ajouter c'était juste parfait.
Nos invités ont unanimement reconnu la qualité de la prestation.
Très bien!Plus",Eb2501,Avis publié : 3 février 2015,2017-12-05 15:26:01.086193
"Ce restaurant italien gastronomique est à essayer absolument ! vous ne serez en aucun cas déçu, on se régale avec une base de produits nobles et de haute qualité, l'équipe est très agréable, serviable et à l'écoute pour vous conseiller. L'huile d'olive maison est simplement...Plus",Antonella L,Avis publié : 15 janvier 2015,2017-12-05 15:26:01.086202
"Ce restaurant italien gastronomique est à essayer absolument ! vous ne serez en aucun cas déçu, on se régale avec une base de produits nobles et de haute qualité, l'équipe est très agréable, serviable et à l'écoute pour vous conseiller. L'huile d'olive maison est simplement...Plus",Antonella L,Avis publié : 15 janvier 2015,2017-12-05 15:26:01.086210
Un excellent week end entouré d un personnel attentif et accueillant - un restaurant a découvrir qui sert une cuisine intéressante en saveurs et en présentation - personnel très qualifié de bons conseils - une très belle suite confortable avec une belle vue sur la...Plus,Missylang92,Avis publié : 22 décembre 2014,2017-12-05 15:26:01.086219
"Comment faire rimer modernité, fantaisie et poésie avec Palace. En réinventant ce dernier tout simplement sans en oublier l’élégance, le raffinement, ou l’exigence obligatoirement de mise ! faire confiance pour cela à la conjugaison de gens de talents, Alexandre Alllard initiateur du projet, ou Omer...Plus",MisterTripper,Avis publié : 26 novembre 2014,2017-12-05 15:26:01.086228
"Un écrin magnifique pour des pièces exceptionnelles !
Une soirée du 7 novembre aux petits soins de Julie la très efficace et professionnelle art concierge du palace, Romain à la Librairie des Arts, ainsi que de Fabien et Paolo au cocktail ! Bravo à toute...Plus",GaiaB007,Avis publié : 9 novembre 2014,2017-12-05 15:26:01.086239
"nous avons tout apprécié, surtout les petites attentions tant à l'hôtel qu'au restaurant
nous fêtions un anniversaire et les petites surprises dans notre chambre ainsi qu'au restaurant nous ont fait très plaisir
merci encorePlus",Bernard J,Avis publié : 23 octobre 2014,2017-12-05 15:26:01.086247
"nous avons tout apprécié, surtout les petites attentions tant à l'hôtel qu'au restaurant
nous fêtions un anniversaire et les petites surprises dans notre chambre ainsi qu'au restaurant nous ont fait très plaisir
merci encorePlus",Bernard J,Avis publié : 23 octobre 2014,2017-12-05 15:26:01.086255
"J'avais choisi ce restaurant pour un diner d'anniversaire, pour pouvoir profiter de la terrasse. Las, le temps n'était pas de mise et nous dinâmes dans la salle à manger . Je ne suis pas un fan de la nouvelle décoration du Royal Monceau mais j'en...Plus",FB75007,Avis publié : 16 septembre 2014,2017-12-05 15:26:01.086263
"Le 24/08/14, nous avions choisi le restaurant du Royal Monceau pour fêter en couple notre anniversaire de mariage. Nous étions attendus et de nombreuses marques de courtoisie et d'attention nous ont été portées par l'ensemble du personnel et plus particulièrement par Fabrice le maître d'hôtel....Plus",JeanLucdePoitiers,Avis publié : 30 août 2014,2017-12-05 15:26:01.086272
"J'ai profité hier d'un package Royal Detox.
Celui ci comprenait un petit-déjeuner au restaurant La Cuisine, un cours privé d'une heure de yoga, un massage au spa Clarins d'une demi-heure et l'acces illimité au spa et à la piscine.
J'ai été formidablement bien reçue et...Plus",Annie S,Avis publié : 19 juillet 2014,2017-12-05 15:26:01.086281
"À peine passé l'entrée et les hôtesses qui valident notre réservation pour le Brunch, un certain Yassin nous a pris en charge et nous a conduit à une table pour 2, proche de la cour intérieure (légèrement ensoleillée, puis nuageuse, puis pluvieuse, puis de nouveau...Plus",Polodriver2013,Avis publié : 30 juin 2014,2017-12-05 15:26:01.086290
"À peine passé l'entrée et les hôtesses qui valident notre réservation pour le Brunch, un certain Yassin nous a pris en charge et nous a conduit à une table pour 2, proche de la cour intérieure (légèrement ensoleillée, puis nuageuse, puis pluvieuse, puis de nouveau...Plus",Polodriver2013,Avis publié : 30 juin 2014,2017-12-05 15:26:01.086298
"Un très bon moment au travers d un petit déjeuner et des mets de qualité à l exception d une omelette qui s est faite attendre ( commande ayant disparu.. ) Nous remarquons le professionnalisme très apprécié d un serveur se prénommant "" Yassin ""...Plus",J Michel H,Avis publié : 15 juin 2014,2017-12-05 15:26:01.086307
"Que ce soit à l'intérieur dans la superbe salle ou sur la terrasse il y a toujours un service attentif. De bons produit et un joli buffet.
Tout est réuni pour passer une agréable journée dominicale.
Merci à tous.Plus",francoise g,Avis publié : 31 mai 2014,2017-12-05 15:26:01.086316
"enfin du service de qualite dans un palace parisien. dommage que les belles chambres ne soient pas fournies en cafetiere theiere etc...
dommage que le patio ne soit ouvert qu en saison chaude quand on veut fumer une cigarette en buvant un verre. la nourriture...Plus",Frederic E,Avis publié : 10 mai 2014,2017-12-05 15:26:01.086323
"Au delà de l'ambiance feutrée, du service impeccable et de la déco chaleureuse avec ses canapés où l'on se détend comme dans son salon, c'est surtout l'ambiance musicale qui marque la différence du Bar du Royal Monceau.
Grâce à Jean Edouard Lipa (DJ résident) et...Plus",Pascale A,Avis publié : 17 avril 2014,2017-12-05 15:26:01.086332
"Au delà de l'ambiance feutrée, du service impeccable et de la déco chaleureuse avec ses canapés où l'on se détend comme dans son salon, c'est surtout l'ambiance musicale qui marque la différence du Bar du Royal Monceau.
Grâce à Jean Edouard Lipa (DJ résident) et...Plus",Pascale A,Avis publié : 17 avril 2014,2017-12-05 15:26:01.086340
"Hôtél fréquenté une journée dans le cadre d'un séminaire avec notre entreprise.
Le cadre est tout simplement magnifique, très design, le personnel est adorable et toujours très disponible et à l'écoute. Tout s'est déroulé comme prévu et souhaité.
Merci pour tout!Plus",Micro_Mega_France,Avis publié : 28 mars 2014,2017-12-05 15:26:01.086349
"De retour à Paris , je me suis décidé à faire le tour des ""cantines"" et puis finalement , sans doute poussé par ""ma mémoire gastronomique"" je suis retourné au brunch du Royal Monceau à Paris
Réservation oblige. je finis par arriver au graal .......Plus",John f,Avis publié : 19 mars 2014,2017-12-05 15:26:01.086358
